source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
botposlednji1,1553752,over_under,Under 2.5,2026-06-27 20:46:08.688927,2026-06-27 22:30:00,0.6124023581084934,0.4441049449940063,0.1682974131144871,-0.01709421523586807,1.605,76,11,11,False,,,0.35,1.7309197425,0.3213272959880604,win,28
botposlednji1,1554061,btts,No,2026-06-27 20:46:08.688927,2026-06-27 21:00:00,0.5903918211385696,0.37601809824144306,0.21437372289712653,-0.09079659544660279,1.54,76,11,11,False,,,0.35,0.2309197425,0.3476562653807329,win,29
botposlednji1,1561329,match_winner,Home,2026-06-28 07:44:11.801497,2026-06-28 19:00:00,0.19077521928123284,0.08920519044945169,0.10157002883178115,0.030186184118657478,5.4,1,3,3,False,,,0.35,11.263388473055555,0.6094256015535522,lose,30
botposlednji1,1554056,match_winner,Draw,2026-06-28 07:44:11.801497,2026-06-28 19:30:00,0.16409701327449966,0.11284744195124569,0.05124957132325397,0.02560633296562287,6.25,76,11,11,False,,,0.35,11.763388473055555,0.7349450004202205,win,31
botposlednji1,1553755,match_winner,Away,2026-06-28 07:44:11.801497,2026-06-28 21:00:00,0.2054616494203371,0.15961692254630588,0.04584472687403121,-0.013784082782381968,4.8,76,11,11,False,,,0.35,13.263388473055555,0.827617096036243,lose,32
botposlednji1,1554059,match_winner,Away,2026-06-28 07:44:11.801497,2026-06-28 20:00:00,0.22208629944282798,0.1792733523517864,0.04281294709104158,-0.02282028245155676,4.4,76,11,11,False,,,0.35,12.263388473055555,0.8608080772418678,lose,33
botposlednji1,1499961,match_winner,Home,2026-06-28 07:44:11.801497,2026-06-28 18:00:00,0.26233125566345683,0.21108868334894695,0.05124257231450988,-0.03462097915847884,3.68,132,11,11,False,,,0.35,10.263388473055555,0.7742038880368978,lose,34
botposlednji1,1554062,match_winner,Away,2026-06-28 07:44:11.801497,2026-06-28 20:00:00,0.2135453570462912,0.16816752551328956,0.04537783153300165,-0.039045893291689504,4.5,76,11,11,False,,,0.35,12.263388473055555,0.8462980682366259,lose,35
botposlednji1,1553757,match_winner,Away,2026-06-28 07:49:05.348510,2026-06-28 19:00:00,0.24247338729834284,0.20376936509608232,0.03870402220226052,-0.042230120171545704,3.95,76,11,11,False,,,0.35,11.18184763611111,0.903883143832084,lose,36
botposlednji1,1554053,match_winner,Away,2026-06-28 07:49:05.348510,2026-06-28 20:00:00,0.23023207253685024,0.189413053440142,0.04081901909670824,-0.04453689897207147,4.15,76,11,11,False,,,0.35,12.18184763611111,0.8783943786079447,lose,37
botposlednji1,1499957,match_winner,Home,2026-06-28 07:49:05.348510,2026-06-28 18:00:00,0.28506824883664517,0.23543812295218558,0.049630125884459586,-0.05927477883907095,3.3,132,12,11,False,,,0.35,10.18184763611111,0.8247277755773301,lose,38
botposlednji1,1553758,match_winner,Away,2026-06-28 07:49:05.348510,2026-06-28 19:00:00,0.24824398057698194,0.21298194868307224,0.035262031893909696,-0.06412019322477813,3.77,76,11,11,False,,,0.35,11.18184763611111,0.9140527232907808,win,39
